temp,dew,humidity,precip,windspeed,pollen_intensity,Clear,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",tem amplitude,Kmeans label,birch,dbscan,risk level
20.2,11.9,60.6,0.0,22.7,3.0,1.0,0.0,0.0,0.0,0.0,13.700000000000001,1,0,0,1
22.2,11.3,51.6,0.0,22.8,4.0,1.0,0.0,0.0,0.0,0.0,11.7,1,2,-1,1
20.4,9.2,50.5,0.0,18.4,4.0,1.0,0.0,0.0,0.0,0.0,12.499999999999998,1,2,-1,1
18.1,10.9,63.2,0.0,17.5,4.0,1.0,0.0,0.0,0.0,0.0,9.000000000000002,0,0,-1,2
16.7,10.5,67.6,0.0,17.5,4.0,1.0,0.0,0.0,0.0,0.0,6.700000000000001,0,0,0,3
16.7,15.6,93.7,2.33,23.5,4.0,0.0,0.0,1.0,0.0,0.0,2.900000000000002,2,1,-1,1
16.1,15.3,95.4,11.46,59.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0000000000000018,2,1,-1,3
16.6,15.9,96.1,2.116,31.4,4.0,0.0,0.0,1.0,0.0,0.0,4.9,2,1,-1,2
17.7,15.1,85.7,0.485,17.8,4.0,0.0,0.0,1.0,0.0,0.0,5.5,2,1,-1,2
20.0,11.6,61.5,0.001,17.5,4.0,0.0,0.0,1.0,0.0,0.0,13.6,0,0,-1,1
26.1,9.2,36.8,0.0,23.6,4.0,1.0,0.0,0.0,0.0,0.0,13.200000000000003,1,2,-1,3
27.5,4.5,24.1,0.0,22.1,4.0,1.0,0.0,0.0,0.0,0.0,12.2,1,2,-1,3
25.3,10.2,39.5,0.0,19.6,4.0,1.0,0.0,0.0,0.0,0.0,10.599999999999998,1,2,-1,3
23.0,10.8,47.9,0.0,25.2,4.0,1.0,0.0,0.0,0.0,0.0,12.7,1,2,-1,3
16.9,10.8,68.1,0.0,27.7,4.0,1.0,0.0,0.0,0.0,0.0,6.799999999999999,0,0,1,2
15.8,7.8,59.6,0.0,27.0,4.0,1.0,0.0,0.0,0.0,0.0,6.1,1,0,-1,3
15.8,8.1,60.7,0.0,24.5,4.0,1.0,0.0,0.0,0.0,0.0,5.800000000000001,0,0,-1,3
17.4,10.2,63.3,0.0,21.0,4.0,1.0,0.0,0.0,0.0,0.0,7.1,0,0,0,3
17.1,10.7,67.1,0.0,20.5,4.0,1.0,0.0,0.0,0.0,0.0,9.7,0,0,0,3
18.8,12.9,70.0,0.001,19.1,4.0,0.0,0.0,1.0,0.0,0.0,7.4,0,0,0,3
19.6,12.9,66.6,0.0,23.3,4.0,1.0,0.0,0.0,0.0,0.0,12.200000000000001,0,0,1,2
18.8,12.5,68.2,0.0,24.6,4.0,1.0,0.0,0.0,0.0,0.0,10.299999999999999,0,0,1,2
18.7,10.1,59.3,0.0,34.1,4.0,1.0,0.0,0.0,0.0,0.0,7.1,1,0,-1,1
21.7,9.3,47.8,0.0,29.9,4.0,1.0,0.0,0.0,0.0,0.0,11.100000000000001,1,2,-1,2
23.4,11.6,49.0,0.0,29.3,4.0,1.0,0.0,0.0,0.0,0.0,11.600000000000001,1,2,-1,2
19.7,13.0,66.2,0.0,28.3,4.0,1.0,0.0,0.0,0.0,0.0,8.5,0,0,1,2
21.5,10.8,53.4,0.0,26.2,4.0,1.0,0.0,0.0,0.0,0.0,13.299999999999999,1,2,-1,3
25.8,8.2,34.2,0.0,28.6,4.0,1.0,0.0,0.0,0.0,0.0,10.8,1,2,-1,3
